"nanyangSiteId","siteNameZh","siteNameAlt1","Y","X"
"sk-wg-01",,"Keramat Habib Nuh (Palmer Road)",1.272783,103.847289
"sk-wg-02",,"Keramat Iskandar Shah (Fort Canning Park)",1.294443,103.84736
"sk-wg-03",,"Keramat Muhammad Salih Valiullah (Masjid Jamae)",1.283359,103.845083
"sk-wg-04",,"Keramat Radin Mas (Mount Faber)",1.269915,103.824027
"sk-wg-05",,"Keramat Sharifah Rogayah (Duxton Plain Park)",1.279915,103.840999
"sk-wg-06",,"Keramat Tok Lasam (Jalan Sempadan)",1.312193,103.927804
"sk-wg-07",,"Kubor Kassim (Siglap Road)",1.316527,103.92261
"sk-wg-08",,"Kusu",1.222997,103.861602
"sk-wg-09",,"Loyang (Toll Offshore Petroleum Services facility)",1.380586,103.968358
"sk-wg-10",,"Moonstone Lane",1.327942,103.865249
"sk-wg-11",,"Pulau Samulun",1.30172,103.698749
"sk-wg-12",,"Tanah Kubor Raja (Bukit Purmei)",1.272499,103.826554
"sk-wg-13",,"Tanjong Kling",1.302998,103.706083
"sk-wg-14",,"Bukit Timah Police Station",1.340138,103.776774
"sk-wg-15",,"Keramat Siti Mariam (Kallang Airport)",1.309193,103.871749
"sk-wg-16",,"Keramat Kallang (Kallang Airport)",1.308387,103.872527
"sk-wg-17",,"Keramat Batu Rimau (Sembawang)",1.459299,103.789553
"sk-wg-18",,"Keramat Bismillah Wali (Upper Changi Road)",1.325997,103.920943
"sk-wg-19",,"Keramat Bukit Bentan (Jalan Minyak)",1.288388,103.838858
"sk-wg-20",,"Keramat Dato Idris (Damar Darat)",1.309831,103.711361
"sk-wg-21",,"Keramat Dato Raja Mulia (Pasir Panjang Road)",1.291859,103.768722
"sk-wg-22",,"Keramat Dato Yunan (Kallang Road)",1.310307,103.867762
"sk-wg-23",,"Keramat Dua Bradik (Lorong 29)",1.320249,103.886638
"sk-wg-24",,"Keramat Fakeh Haji Abul Jalil (Arab Street)",1.303609,103.860278
"sk-wg-25",,"Keramat Ganja (Rangoon Road)",1.312609,103.854665
"sk-wg-26",,"Keramat Habib Salim (Lorong 19)",1.314717,103.878716
"sk-wg-27",,"Keramat Habib Syed Ismail (Bukit Timah Road)",1.353694,103.769694
"sk-wg-28",,"Keramat Hitam (Kallang Burial Ground, Lorong 1)",1.311694,103.873472
"sk-wg-29",,"Keramat Kubor Panjang (Ringwood Road)",1.30125,103.889139
"sk-wg-30",,"Keramat Kuching (Telok Mata Ikan)",1.302331,103.843832
"sk-wg-31",,"Keramat Maliki (Siglap)",1.317025,103.935804
"sk-wg-32",,"Keramat Mat Tanggok (Kramat Road Burial Ground)",1.317028,103.935805
"sk-wg-33",,"Keramat Meriam / Siti Subaida (Jalan Tenteram)",1.328579,103.860582
"sk-wg-34",,"Keramat Nenak (Pulau Seraya)",1.281775,103.72547
"sk-wg-35",,"Keramat Orang Halus (Havelock Road Police Station)",1.289025,103.834898
"sk-wg-36",,"Keramat Pulau Seletar",1.449632,103.857749
"sk-wg-37",,"Keramat Puteh (Sentosa Wax Museum Plaza)",1.254347,103.817966
"sk-wg-38",,"Keramat Puteri Jawa (Pulau Ubin)",1.409184,103.94927
"sk-wg-39",,"Keramat Shaik Ismail Waliullah (Ann Siang Hill)",1.281494,103.845776
"sk-wg-40",,"Keramat Siti Aishah or Siti Habsah (Kangkar Customs Station)",1.377149,103.903078
"sk-wg-41",,"Keramat Siti Aminah (Paya Lebar Police Station)",1.35199,103.876245
"sk-wg-42",,"Keramat Siti Mariam (Rumah Miskin Police Station)",1.316522,103.858832
"sk-wg-43",,"Keramat Siti Zainab or Siti Rafiah (Thomson Road)",1.326403,103.841534
"sk-wg-44",,"Keramat Syed Salim (Bedok Police Station)",1.322394,103.960999
"sk-wg-45",,"Keramat Syed Yasin (Tanjong Pagar)",1.270169,103.841688
"sk-wg-46",,"Keramat Yang Meleking (Pulau Seking)",1.207521,103.777193
"sk-wg-47",,"Miri Road",1.270303,103.82722
"sk-wg-48",,"Pulau Hantu",1.22472,103.748625
"sk-wg-49",,"Pulau Sejahat",1.401372,104.020747
"sk-wg-50",,"Kubor Panjiang (Siang Lim Park, Lorong 40)",1.31233,103.889666
"sk-wg-51",,"Small Keramat (Siang Lim Park, Lorong 40)",1.31322,103.889666
"sk-wg-52",,"Sikh Keramat (Singapore General Hospital)",1.279551,103.834025
"sk-wg-53",,"Tanjong Kling Road (Jurong Engineering Ltd)",1.304724,103.701496
